id,(Intercept),Patient_SexM
EC:5.1.3.15,0.4437088666046441,0.5857688679223481
EC:5.1.3.2,0.17019843660444164,0.24746827611213407
EC:5.1.3.20,0.3439986249339924,0.4785889254203441
EC:5.1.3.22,0.3300777883907115,0.4305686149611072
EC:5.1.3.23,0.3924102972472921,0.5410494246969844
EC:5.1.3.24,0.4087269603635276,0.570174863310414
EC:5.1.3.25,0.3718717216935617,0.5179782709335895
EC:5.1.3.29,0.2971253406352627,0.4066539185995184
EC:5.1.3.3,0.17695842965577746,0.25277105412578044
EC:5.1.3.30,0.3474530550252169,0.5115215960044482
EC:5.1.3.31,0.3480638420139822,0.5117896962132447
EC:5.1.3.32,0.23327315163235504,0.35987932916462634
EC:5.1.3.4,0.2472070735384899,0.31782445204713966
EC:5.1.3.6,0.3861795373257161,0.5725857980478862
EC:5.1.3.7,0.39492343047352196,0.5605640490245167
EC:5.1.3.8,0.45180480546187657,0.6151735444446307
EC:5.1.3.9,0.18767022679358888,0.2738572797192182
EC:5.1.99.1,0.26960423219670443,0.3872147393628207
EC:5.1.99.3,0.3228720000033386,0.4430982602539991
EC:5.1.99.4,0.3953497569796169,0.5517173540576779
EC:5.1.99.6,0.24909812393218161,0.3257978502924334
EC:5.2.1.1,0.4032072088943189,0.522580594215695
EC:5.2.1.2,0.2627274685230749,0.3764169464694571
EC:5.2.1.4,0.3162378392649612,0.4559002858232475
EC:5.2.1.8,0.16016628857956225,0.22955297604640665
EC:5.3.1.1,0.16889178309041777,0.24235568201674562
EC:5.3.1.12,0.2442163006998049,0.3444140249894567
EC:5.3.1.13,0.2872111355058128,0.3762545276770216
EC:5.3.1.14,0.23190449298431987,0.34234382296999943
EC:5.3.1.16,0.1849397336741042,0.2646615337293521
EC:5.3.1.17,0.2667639111131423,0.3686689677693222
EC:5.3.1.22,0.3030939068192043,0.40402352870175123
EC:5.3.1.23,0.22389032601993625,0.35674374715337026
EC:5.3.1.24,0.175928485491911,0.254201349443682
EC:5.3.1.25,0.2742258049005169,0.38367158743447155
EC:5.3.1.26,0.37217787238052247,0.48048679469127703
EC:5.3.1.27,0.326839899117702,0.41767965103791804
EC:5.3.1.28,0.25917542672913085,0.3301789395335456
EC:5.3.1.29,0.29284830169207543,0.4323154835524218
EC:5.3.1.30,0.30286694299451694,0.4083128445133429
EC:5.3.1.31,0.404460926919044,0.5735446380030926
EC:5.3.1.4,0.23618182102808324,0.32635050164465695
EC:5.3.1.5,0.2494135172385848,0.3528895690056061
EC:5.3.1.6,0.16227243052397666,0.2348133018359427
EC:5.3.1.8,0.20307479357664585,0.2773723477467679
EC:5.3.1.9,0.1699486646295703,0.2436072961418635
EC:5.3.2.5,0.37623936646906037,0.5669022639556364
EC:5.3.2.6,0.26220507020532585,0.3528749896239003
EC:5.3.2.8,0.41929425283984567,0.5473554850489721
EC:5.3.3.10,0.31970674605456817,0.46636428392204105
EC:5.3.3.14,0.26386626736877195,0.35485665103954606
EC:5.3.3.17,0.3555103602791897,0.4915457785249883
EC:5.3.3.18,0.33523889912358,0.46804423660205435
EC:5.3.3.2,0.2584126638001701,0.3530549164663516
EC:5.3.3.3,0.40506009956380823,0.5825867416316298
EC:5.3.3.4,0.4079771595779723,0.5554834352692946
EC:5.3.3.8,0.4038596650134551,0.5631853395103672
EC:5.3.4.1,0.3913680655065583,0.549831131298614
