metagene,log2foldchange_After abduction,q-value_After abduction,enzyme_class
EC:3.5.1.44,-2.235489665444676,0.0015702082267939,Hydrolases
EC:3.5.1.87,-1.4719133205416828,0.0445552182234694,Hydrolases
EC:3.5.1.9,-2.4935032770470373,0.0002935636098991508,Hydrolases
EC:3.5.2.10,-1.961760828380965,1.6929532862355765e-06,Hydrolases
EC:3.5.2.2,-2.1115431275402563,4.369779663668433e-08,Hydrolases
EC:3.5.2.5,-1.6939600336903764,0.0433235785749876,Hydrolases
EC:3.5.3.11,-1.7398287902806358,0.0002045825700469789,Hydrolases
EC:3.5.4.2,-1.2611580376028182,0.021658992597809,Hydrolases
EC:3.5.4.3,-1.2485364974342754,0.0410015250385979,Hydrolases
EC:3.6.1.15,-3.0106892524455744,3.912701683974659e-05,Hydrolases
EC:3.6.3.25,-1.9182245050311724,0.0012478295629105,Hydrolases
EC:3.6.3.55,-2.449802546244637,0.0021737045664904,Hydrolases
EC:3.7.1.12,-2.247731765571969,1.0842916495150892e-06,Hydrolases
EC:4.1.1.65,-1.3263661480181383,0.0075678645288645,Lyases
EC:4.1.1.81,-2.1852536484737346,9.39037526412999e-06,Lyases
EC:4.1.1.96,-2.1505351158995887,0.0010627277369461,Lyases
EC:4.1.99.14,-2.309611894264439,0.0005226722381756331,Lyases
EC:4.1.99.17,-1.478002986866504,0.00044329446878512926,Lyases
EC:4.1.99.19,-1.76137181381067,3.4886183389453374e-05,Lyases
EC:4.2.1.120,-2.3902220110714567,0.0303807736243524,Lyases
EC:4.3.1.15,-1.7603734801185469,4.361191878034185e-05,Lyases
EC:4.3.1.2,-2.2908009898656863,0.0025172024299947,Lyases
EC:4.3.1.4,-1.8687224563661315,0.0491055791602619,Lyases
EC:4.3.1.7,-2.121781915819668,0.0015707493784141,Lyases
EC:4.3.2.3,-2.2243501757169097,0.0048677465356246,Lyases
EC:4.6.1.12,-1.5705670317669769,0.00010824167038690072,Lyases
EC:4.99.1.3,-1.8713613785282648,0.000912631328709097,Lyases
EC:5.1.1.4,-2.176430891943664,0.0002399488778134291,Isomerases
EC:5.1.3.22,-2.091174323320541,0.0003062316294012765,Isomerases
EC:5.1.3.23,-2.1979145010535968,0.0320960659073026,Isomerases
EC:5.1.3.29,-2.478433119225836,6.6312683574702444e-09,Isomerases
EC:5.1.3.30,-2.438766411502864,0.0005210323267895375,Isomerases
EC:5.1.3.31,-2.4399568225483845,0.0005226722381756331,Isomerases
EC:5.1.99.6,-1.630795335128831,0.0005159045469447849,Isomerases
EC:5.3.1.25,-2.1152200653169846,3.264053010133005e-06,Isomerases
EC:5.3.2.5,-2.5573815800530078,0.0030544750986353,Isomerases
EC:5.3.3.3,-2.385305660572232,0.0310247803421806,Isomerases
EC:5.4.99.21,-2.2823539683220804,2.655687632193102e-06,Isomerases
EC:5.4.99.24,-2.2576459130098256,2.782350400278901e-07,Isomerases
EC:5.4.99.60,-2.00851622789818,9.149150616843326e-06,Isomerases
EC:5.4.99.61,-2.011925867446874,8.782461279311828e-06,Isomerases
EC:6.1.1.17,-1.5926458949951896,0.0002573558336310655,Ligases
EC:6.1.1.18,-1.713723927573267,0.000102944484464841,Ligases
EC:6.1.1.23,-2.9186266313589684,1.732674810338653e-07,Ligases
EC:6.2.1.3,-1.3178778048565871,0.021773300269652,Ligases
EC:6.2.1.30,-1.8734151022904089,0.00011485540801508598,Ligases
EC:6.3.1.10,-1.8872267848927908,6.39509997381263e-05,Ligases
EC:6.3.5.1,-2.315229351963815,3.116760349137248e-07,Ligases
EC:6.3.5.10,-1.706422913721071,0.0002877330093536504,Ligases
EC:6.3.5.11,-1.9463265888594967,3.895052019094548e-05,Ligases
EC:6.3.5.9,-1.946291311181307,3.811561432270756e-05,Ligases
