id,(Intercept),Patient_SexM
EC:1.1.1.1,4.946963792267399,-0.02756001749280207
EC:1.1.1.100,5.097380662487643,0.06586595170938005
EC:1.1.1.103,0.3504957807097453,0.02081676669984664
EC:1.1.1.108,-1.684628188397694,-0.21175596448026718
EC:1.1.1.11,-6.125353217586894,0.5543007123240811
EC:1.1.1.122,-2.2256022891454315,-0.7893773050686101
EC:1.1.1.125,1.7860521632712505,-0.22924475613153156
EC:1.1.1.130,0.03183334714915187,0.4540233462966325
EC:1.1.1.132,-2.0950517977542003,-0.6697711554957495
EC:1.1.1.133,3.803279861150145,0.25240296418863023
EC:1.1.1.136,-2.8117511554802537,-0.17378244310281754
EC:1.1.1.137,-0.0014833939842597843,-0.07474649578872344
EC:1.1.1.14,2.950453655750904,0.47758412261896993
EC:1.1.1.140,1.071874255945768,0.29807210470012
EC:1.1.1.157,2.2113696991305325,0.21108694242276854
EC:1.1.1.159,0.6869811151536345,-0.09838089863531879
EC:1.1.1.169,3.890584440937289,-0.005725425197416048
EC:1.1.1.17,1.5942769027408872,0.46209634065412125
EC:1.1.1.179,-1.9794563569753265,-0.8969547952784289
EC:1.1.1.18,2.0475501698360024,-0.40834541723932954
EC:1.1.1.193,2.877071431584035,0.04983864305488531
EC:1.1.1.202,-2.8343263414040107,0.09041262430690934
EC:1.1.1.203,-3.4935957601794603,-0.48015053114631606
EC:1.1.1.205,4.273132785618188,-0.01986213535754186
EC:1.1.1.206,-3.994755087951333,0.11805515574778794
EC:1.1.1.215,-3.355914931037864,0.6301789079492379
EC:1.1.1.219,-0.9405074337459736,-0.2743440335474538
EC:1.1.1.22,2.828926791886227,0.4402503699626378
EC:1.1.1.23,3.7630860249938696,-0.06344857044726115
EC:1.1.1.243,-3.289168092636578,-0.6464198968379198
EC:1.1.1.25,4.099577336775443,0.17098240314664695
EC:1.1.1.251,-4.2655493243686555,0.5087870720012009
EC:1.1.1.26,-3.1240842101492956,-0.2232306813704863
EC:1.1.1.261,0.7652925305499476,-0.13794646689329235
EC:1.1.1.262,1.2872054759900688,0.1496027100332681
EC:1.1.1.264,-2.7076454661875085,0.007299657533632237
EC:1.1.1.267,2.705547550090527,0.37400890466186565
EC:1.1.1.27,4.392364478883211,0.013312318442651017
EC:1.1.1.271,-0.0511041863035091,0.28963778448858674
EC:1.1.1.275,-4.51768018923765,-0.6682139303834274
EC:1.1.1.28,3.7430779980805973,-0.07854666914719624
EC:1.1.1.281,-3.0782892236385533,0.007788642664448578
EC:1.1.1.282,-4.038323780089016,-0.21946429043059823
EC:1.1.1.284,0.5501433359019385,0.5188874865766968
EC:1.1.1.287,-5.0218813072615776,-0.03729611288776538
EC:1.1.1.289,-5.462828649618511,0.22839999278755793
EC:1.1.1.29,2.6946161765248444,0.28459792680325513
EC:1.1.1.290,-1.552134177242606,0.11132601529976832
EC:1.1.1.291,-6.267795552612792,0.3897814461014262
EC:1.1.1.3,4.162425692926583,0.04249067211842989
EC:1.1.1.30,-1.3749847985144417,0.5936387422766543
EC:1.1.1.300,-4.356191404316352,-0.388308495548967
EC:1.1.1.301,-5.325178532259132,0.760681386423435
EC:1.1.1.302,-3.061905716871714,0.5118071639235215
EC:1.1.1.303,1.3157659580552927,-0.9375005694097909
EC:1.1.1.304,1.3541214292841826,-0.2885273611664526
EC:1.1.1.305,-2.8365177803742205,0.41045204514303557
EC:1.1.1.306,-2.226183735591894,-0.6884847819724484
EC:1.1.1.308,-3.3206004455322575,0.33484731501145393
EC:1.1.1.31,3.121903454561691,0.314794517610565
EC:1.1.1.310,-4.979481521254577,0.5670896170856488
EC:1.1.1.328,-2.253132700564093,-0.676685667888598
EC:1.1.1.333,-2.4824981115362057,-0.49034131878549864
EC:1.1.1.335,-6.598545848922397,0.45683079870883575
EC:1.1.1.336,-0.5247749692434809,0.2772344635747995
EC:1.1.1.337,-1.9794563569753265,-0.8969547952784289
EC:1.1.1.343,3.622662490408164,-0.30828099993565544
EC:1.1.1.346,-0.3812916483615556,0.19611310023311612
EC:1.1.1.35,-0.512146539040299,-0.12396224852304766
EC:1.1.1.350,0.1451951202016728,-0.28670847320757675
EC:1.1.1.36,-6.585069737640469,0.14752178364002258
EC:1.1.1.363,3.508558468273529,-0.3412350235109598
EC:1.1.1.367,-0.653233598831445,-0.08139195762289059
