Group 1,Group 2,H,p-value,q-value
formed (n=30),liquid (n=31),0.005202913631649153,0.9424974769178384,0.9424974769178384
formed (n=30),semi-formed (n=33),0.4734848484848442,0.49138832870479277,0.8249597716978893
liquid (n=31),semi-formed (n=33),0.35736521542975197,0.5499731811319262,0.8249597716978893
