	SubjectID1	SubjectID2	Group1	Group2	Distance
103	EG1673	EG0101	After abduction	After abduction	0.3535714285714286
104	EG1673	EG1772	After abduction	After abduction	0.37318840579710144
105	EG1637	EG2580	After abduction	After abduction	0.3333333333333333
106	EG1637	EG2559	After abduction	After abduction	0.15942028985507245
107	EG1637	EG2473	After abduction	After abduction	0.368
108	EG1637	EG2392	After abduction	After abduction	0.3298245614035088
109	EG1637	EG2391	After abduction	After abduction	0.41365461847389556
110	EG1637	EG2018	After abduction	After abduction	0.1624548736462094
111	EG1637	EG1990	After abduction	After abduction	0.5679012345679012
112	EG1637	EG1940	After abduction	After abduction	0.18661971830985916
113	EG1637	EG0118	After abduction	After abduction	0.5327868852459017
114	EG1637	EG1939	After abduction	After abduction	0.38223938223938225
115	EG1637	EG1892	After abduction	After abduction	0.2664233576642336
116	EG1637	EG1878	After abduction	After abduction	0.15073529411764705
117	EG1637	EG0101	After abduction	After abduction	0.14492753623188406
118	EG1637	EG1772	After abduction	After abduction	0.14814814814814814
119	EG1637	EG1673	After abduction	After abduction	0.3463035019455253
120	EG1572	EG2580	After abduction	After abduction	0.27450980392156865
121	EG1572	EG2559	After abduction	After abduction	0.13013698630136986
122	EG1572	EG2473	After abduction	After abduction	0.39568345323741005
123	EG1572	EG2392	After abduction	After abduction	0.2809364548494983
124	EG1572	EG2391	After abduction	After abduction	0.4645390070921986
125	EG1572	EG2018	After abduction	After abduction	0.1267123287671233
126	EG1572	EG1990	After abduction	After abduction	0.6164874551971327
127	EG1572	EG1940	After abduction	After abduction	0.11904761904761904
128	EG1572	EG0118	After abduction	After abduction	0.5755395683453237
129	EG1572	EG1939	After abduction	After abduction	0.39649122807017545
130	EG1572	EG1892	After abduction	After abduction	0.24315068493150685
131	EG1572	EG1878	After abduction	After abduction	0.13448275862068965
132	EG1572	EG0101	After abduction	After abduction	0.09027777777777778
133	EG1572	EG1772	After abduction	After abduction	0.1056338028169014
134	EG1572	EG1673	After abduction	After abduction	0.35231316725978645
135	EG1572	EG1637	After abduction	After abduction	0.1510791366906475
136	EG1524	EG2580	After abduction	After abduction	0.5198412698412699
137	EG1524	EG2559	After abduction	After abduction	0.5677655677655677
138	EG1524	EG2473	After abduction	After abduction	0.4098360655737705
139	EG1524	EG2392	After abduction	After abduction	0.49159663865546216
140	EG1524	EG2391	After abduction	After abduction	0.33532934131736525
141	EG1524	EG2018	After abduction	After abduction	0.5797101449275363
142	EG1524	EG1990	After abduction	After abduction	0.35
143	EG1524	EG1940	After abduction	After abduction	0.5683453237410072
144	EG1524	EG0118	After abduction	After abduction	0.43506493506493504
145	EG1524	EG1939	After abduction	After abduction	0.4105263157894737
146	EG1524	EG1892	After abduction	After abduction	0.502092050209205
147	EG1524	EG1878	After abduction	After abduction	0.5703703703703704
148	EG1524	EG0101	After abduction	After abduction	0.5636363636363636
149	EG1524	EG1772	After abduction	After abduction	0.5708955223880597
150	EG1524	EG1673	After abduction	After abduction	0.3958333333333333
