	SubjectID1	SubjectID2	Group1	Group2	Distance
118	EG1637	EG1772	After abduction	After abduction	0.213
119	EG1637	EG1673	After abduction	After abduction	0.4384
120	EG1572	EG2580	After abduction	After abduction	0.3164
121	EG1572	EG2559	After abduction	After abduction	0.2964
122	EG1572	EG2473	After abduction	After abduction	0.3838
123	EG1572	EG2392	After abduction	After abduction	0.3192
124	EG1572	EG2391	After abduction	After abduction	0.6
125	EG1572	EG2018	After abduction	After abduction	0.2598
126	EG1572	EG1990	After abduction	After abduction	0.6682
127	EG1572	EG1940	After abduction	After abduction	0.333
128	EG1572	EG0118	After abduction	After abduction	0.5218
129	EG1572	EG1939	After abduction	After abduction	0.5214
130	EG1572	EG1892	After abduction	After abduction	0.3342
131	EG1572	EG1878	After abduction	After abduction	0.2126
132	EG1572	EG0101	After abduction	After abduction	0.2322
133	EG1572	EG1772	After abduction	After abduction	0.1814
134	EG1572	EG1673	After abduction	After abduction	0.4488
135	EG1572	EG1637	After abduction	After abduction	0.1634
136	EG1524	EG2580	After abduction	After abduction	0.4702
137	EG1524	EG2559	After abduction	After abduction	0.5132
138	EG1524	EG2473	After abduction	After abduction	0.4434
139	EG1524	EG2392	After abduction	After abduction	0.5208
140	EG1524	EG2391	After abduction	After abduction	0.2358
141	EG1524	EG2018	After abduction	After abduction	0.5828
142	EG1524	EG1990	After abduction	After abduction	0.0846
143	EG1524	EG1940	After abduction	After abduction	0.527
144	EG1524	EG0118	After abduction	After abduction	0.4936
145	EG1524	EG1939	After abduction	After abduction	0.3848
146	EG1524	EG1892	After abduction	After abduction	0.5162
147	EG1524	EG1878	After abduction	After abduction	0.5642
148	EG1524	EG0101	After abduction	After abduction	0.502
149	EG1524	EG1772	After abduction	After abduction	0.5818
150	EG1524	EG1673	After abduction	After abduction	0.4116
151	EG1524	EG1637	After abduction	After abduction	0.6024
152	EG1524	EG1572	After abduction	After abduction	0.6284
153	EG0088	EG2580	After abduction	After abduction	0.3064
154	EG0088	EG2559	After abduction	After abduction	0.3262
155	EG0088	EG2473	After abduction	After abduction	0.3116
156	EG0088	EG2392	After abduction	After abduction	0.2766
157	EG0088	EG2391	After abduction	After abduction	0.4206
158	EG0088	EG2018	After abduction	After abduction	0.3714
159	EG0088	EG1990	After abduction	After abduction	0.4834
160	EG0088	EG1940	After abduction	After abduction	0.3868
161	EG0088	EG0118	After abduction	After abduction	0.1662
162	EG0088	EG1939	After abduction	After abduction	0.3448
163	EG0088	EG1892	After abduction	After abduction	0.3462
164	EG0088	EG1878	After abduction	After abduction	0.424
165	EG0088	EG0101	After abduction	After abduction	0.3762
166	EG0088	EG1772	After abduction	After abduction	0.4056
167	EG0088	EG1673	After abduction	After abduction	0.2572
168	EG0088	EG1637	After abduction	After abduction	0.4346
169	EG0088	EG1572	After abduction	After abduction	0.4532
170	EG0088	EG1524	After abduction	After abduction	0.4454
171	EG1490	EG2580	After abduction	After abduction	0.2846
172	EG1490	EG2559	After abduction	After abduction	0.3596
173	EG1490	EG2473	After abduction	After abduction	0.2136
174	EG1490	EG2392	After abduction	After abduction	0.3238
175	EG1490	EG2391	After abduction	After abduction	0.4122
176	EG1490	EG2018	After abduction	After abduction	0.3424
177	EG1490	EG1990	After abduction	After abduction	0.481
178	EG1490	EG1940	After abduction	After abduction	0.2424
179	EG1490	EG0118	After abduction	After abduction	0.485
180	EG1490	EG1939	After abduction	After abduction	0.2976
181	EG1490	EG1892	After abduction	After abduction	0.3464
182	EG1490	EG1878	After abduction	After abduction	0.4132
183	EG1490	EG0101	After abduction	After abduction	0.3838
184	EG1490	EG1772	After abduction	After abduction	0.3566
185	EG1490	EG1673	After abduction	After abduction	0.2914
186	EG1490	EG1637	After abduction	After abduction	0.4572
187	EG1490	EG1572	After abduction	After abduction	0.4588
188	EG1490	EG1524	After abduction	After abduction	0.4516
189	EG1490	EG0088	After abduction	After abduction	0.4074
190	EG1431	EG2580	After abduction	After abduction	0.2466
191	EG1431	EG2559	After abduction	After abduction	0.282
192	EG1431	EG2473	After abduction	After abduction	0.273
193	EG1431	EG2392	After abduction	After abduction	0.2522
194	EG1431	EG2391	After abduction	After abduction	0.5568
195	EG1431	EG2018	After abduction	After abduction	0.262
196	EG1431	EG1990	After abduction	After abduction	0.6278
197	EG1431	EG1940	After abduction	After abduction	0.2554
198	EG1431	EG0118	After abduction	After abduction	0.4782
199	EG1431	EG1939	After abduction	After abduction	0.4406
200	EG1431	EG1892	After abduction	After abduction	0.2968
201	EG1431	EG1878	After abduction	After abduction	0.3284
202	EG1431	EG0101	After abduction	After abduction	0.3322
203	EG1431	EG1772	After abduction	After abduction	0.258
204	EG1431	EG1673	After abduction	After abduction	0.3828
205	EG1431	EG1637	After abduction	After abduction	0.3798
206	EG1431	EG1572	After abduction	After abduction	0.344
207	EG1431	EG1524	After abduction	After abduction	0.5882
208	EG1431	EG0088	After abduction	After abduction	0.4182
209	EG1431	EG1490	After abduction	After abduction	0.3282
210	EG1416	EG2580	After abduction	After abduction	0.3136
211	EG1416	EG2559	After abduction	After abduction	0.3052
212	EG1416	EG2473	After abduction	After abduction	0.3218
213	EG1416	EG2392	After abduction	After abduction	0.2738
214	EG1416	EG2391	After abduction	After abduction	0.484
215	EG1416	EG2018	After abduction	After abduction	0.3398
216	EG1416	EG1990	After abduction	After abduction	0.5462
217	EG1416	EG1940	After abduction	After abduction	0.371
218	EG1416	EG0118	After abduction	After abduction	0.178
219	EG1416	EG1939	After abduction	After abduction	0.3828
220	EG1416	EG1892	After abduction	After abduction	0.3304
221	EG1416	EG1878	After abduction	After abduction	0.3886
222	EG1416	EG0101	After abduction	After abduction	0.3436
223	EG1416	EG1772	After abduction	After abduction	0.3572
224	EG1416	EG1673	After abduction	After abduction	0.3032
225	EG1416	EG1637	After abduction	After abduction	0.3866
226	EG1416	EG1572	After abduction	After abduction	0.386
227	EG1416	EG1524	After abduction	After abduction	0.5102
228	EG1416	EG0088	After abduction	After abduction	0.1884
229	EG1416	EG1490	After abduction	After abduction	0.44
230	EG1416	EG1431	After abduction	After abduction	0.4092
