id	clr	W
000102d9d6f81266a629d03b204b92c8	-0.38233756749794895	3
003511af67900839c5416b1549d6e934	0.060253617167236	7
008a2ed6088de2b763c383198252e71a	0.058260456719229234	8
00c18463b358fc50dadbcf50634bd1d6	0.08283214080532349	8
00c689c990bd5c5f296f4734842b480e	-0.0010742270397874898	8
00ca82c00bca1228f17ec2ff629bffe8	0.07786428920171833	9
0109d6a78b9e2853ace2ebab2401780f	-0.20075770069059778	3
010e8285a77e928842c77385ad97b361	0.022529997805191437	4
01290818c1f71fe683ef097753bc5503	0.18651560449288382	10
01469d20df3bba59e6a60e1c4468f1ea	0.07485467939620398	8
016ff2d44e3f99c42a568745195a3f14	0.08431441316964829	8
0182133cb1244e92ed02de4137f6c59b	0.21224423699562725	12
01a5525a182b26119f7bbfb3f8035eec	0.07580455521819564	8
01d387b7bee9cb91f6e1f61780fdf55c	0.0789869673835042	8
01e01d20eaf20ef68400551b880a539f	-0.16800951751705345	3
020e3f9101b8fa8235a2c556be098bbf	0.2188415205232321	12
021d20ef6395eeaa65f3f77a8499a7e2	-1.228357726722915	2
022699f5523684e09aff1c018b339cc1	-0.04567808239956793	4
02288e1bf215c3f50a985863e853edf0	-0.7087609148540847	1
0232c4b5857f5fdc41d16c251864870a	0.2058755015226416	7
024de602e8cf412f56676e91a303ec2b	0.01041578230083176	4
029098ae82c0f337a02d83560eba46fc	0.08283214080532349	8
029d944a7abb400e337176d790f901a9	-0.28978205588409095	2
02b488811b8a7f7b5e073c58c0e6253f	-0.3182752910816052	2
02c8b05ccf6312eee4d593b774c3aa1f	-0.29997326265790664	3
02d0d38ada28be79dae7cbbcb1c37424	0.04523639094100769	7
0335be632b2a6bb58d6d819875aa65ba	0.15321895899445614	10
033e175eb7cd0d56ff54f5506d7bf43b	0.1837676479276525	12
033f2c7d42a188dfbc9322bbae801037	0.10052679719472048	8
0360016e32f7257edb28a8a9641d5ae5	-0.3293940950236577	2
0376ca361e6911613a67718c49cdd6cc	0.006588202916278957	6
038a6380f05fd788a3685661a0d42683	0.07395115783751079	8
03a7b133afc38980651be669696ec947	0.09182302628276241	8
03aaa7e2866989e44271c4d0c72f88d1	-0.15621146839954003	3
0400b14f0144455ea0f6f0610e4a3ea0	-0.10494125595731806	4
040f623eab898cff07125e1aac87f6a0	-0.07863478545418835	3
04413b8e059d4d92e1f20305c1c61719	0.025142821332072934	5
045fd2f376df8ab160c365aa9811b1eb	-1.0830649845277813	0
049818b152db3312886899302aa53e00	-0.005836980732711605	4
05032e1c0e6eb5a3cdcb7cb6cf10c21e	0.04720830724475676	7
054d5ffc459eb83b4853de11676cf3a8	-0.07329683557718793	4
055ff2a11843ce4b4a5443e85f06d836	0.28496398841776266	10
0571edef4962b80837f40b587029fd80	0.08431441316964829	8
0574ed3f3eb74ba1ed33bf872692c270	0.043625069144903425	7
059993f59c5d5806291cb4ce07538fd6	0.11749514408127891	9
05dd72f2307d6b405cde153c1912d4cf	0.23173817069836175	13
05f41407c81f924d5acb7c167095cc5b	0.13922203599728705	9
05f5bf5263425e7666bf74fe05dc190d	0.056121329179935855	7
0616852e5d8afb9bfe9ca11e57e7ba48	0.32195116644521155	10
0648baf21249f6baab98bdab36014cdf	0.06615090848424589	7
06b92112e0304cce01234c30f1b27fb0	0.1592123355038682	11
06c98a5a1fa7588dca6bd6d866b69334	-0.08651797304347514	3
06e0a26263c96a1a7354853702512b85	0.20199131678398669	10
06f26ee0bb9b65211d64a1a25c1ca916	-0.023302916659627138	2
071f0fb7a5ac4ed9426f5a902b0bbf8d	0.05451000738383156	6
073ecb7f0003a4d2913e1e6413a5b66d	0.03447657830324401	8
0740ed57def4f9ae1a35059c31f39f76	0.04827904003899432	7
076990692c4439dbcb7786ee1d46daae	0.01816853606889593	5
0777be0ed3cd94581e26b2c32aaf59bf	-0.031381127544460624	5
07d43bda1d9e6f8d671693e4d2bab360	-0.006072738449267909	5
0804cc0c3a3cb43a50c6272ab93f6e67	0.1532189589944561	10
0821a31cdbde87ee40d05d044946fe19	0.10052679719472048	8
08349f0bff55a283bae4c2bdb7e867a7	0.054821250315616424	7
0846f559f6e161c0a0d1ff3fbd7e234d	0.23328208678489765	11
088ee023af9f6612ca07bb89a617adf5	0.3186057186673495	10
08938c4d8fd422d8733b83056ea5ccd4	0.08592573496575252	8
08d5a358615c6e1123b166338b0181fa	0.10003082242674433	8
08db65477bc674fb240862c1acb1ce1a	0.15493901885119032	9
08e702e3c2ccc2b6dbefcd07fd1bfb48	0.04639417532955091	7
090b39c1a66fb507442996887062c812	0.24936730309531566	11
092c1173de647f07f4df2e29591680f7	0.24250818345530983	11
