id,(Intercept),Stool_Consistencyliquid,Stool_Consistencysemi-formed
EC:1.1.1.1,0.21282627365135748,0.296571879647797,0.304432061911595
EC:1.1.1.100,0.21372606552474507,0.30340555458910046,0.31105495325093463
EC:1.1.1.103,0.34032612189069683,0.47353846209454353,0.5094014623121886
EC:1.1.1.108,0.6032944383895983,0.7312896366919417,0.7857874156846606
EC:1.1.1.11,0.48921969334958365,0.6195043962030522,0.5838648028027613
EC:1.1.1.122,0.5047964930474924,0.6444435227857531,0.6299439121850845
EC:1.1.1.125,0.38229719151062497,0.49709391001263836,0.48716014472709546
EC:1.1.1.130,0.4254126500314986,0.5744183197942331,0.6464142994325495
EC:1.1.1.132,0.5036937779829838,0.6644604048908145,0.6305522577719046
EC:1.1.1.133,0.22841123743060704,0.3165909917653653,0.3236760285874419
EC:1.1.1.136,0.505024985775693,0.6632490476377797,0.6789183534641459
EC:1.1.1.137,0.5017427490644522,0.5917500329727702,0.654799243227062
EC:1.1.1.14,0.37054777761851043,0.4704385523341349,0.4971896869234227
EC:1.1.1.140,0.4096049967188193,0.5866303242924422,0.5974449716358556
EC:1.1.1.157,0.25089950165281083,0.3504158052379014,0.36710355702175246
EC:1.1.1.159,0.4583194940658324,0.5784707227629964,0.6214781267442875
EC:1.1.1.169,0.23370522487395626,0.3172790765821352,0.3422913426039453
EC:1.1.1.17,0.35107908969835727,0.5053231775775817,0.5167483961718838
EC:1.1.1.179,0.5592383558611541,0.7642307105949612,0.7554582992304315
EC:1.1.1.18,0.40946076551917676,0.5319753076591703,0.5332091245766769
EC:1.1.1.193,0.2558721469691239,0.35536269749967286,0.34703199532013457
EC:1.1.1.202,0.5889813538414881,0.7596172311877026,0.8187936187969426
EC:1.1.1.203,0.3997161925167601,0.5356449364011513,0.5292736566922079
EC:1.1.1.205,0.19527018053777492,0.2838055880746606,0.28656386611238055
EC:1.1.1.206,0.43607066538021866,0.6449069675310437,0.6073397964415842
EC:1.1.1.215,0.5928577289716117,0.7345137516793899,0.7318508447560235
EC:1.1.1.219,0.5510985480924966,0.6846188895420366,0.7498055095386225
EC:1.1.1.22,0.2609694347582076,0.3578362154720899,0.3502501199779603
EC:1.1.1.23,0.2340042362824642,0.3284659644422374,0.31424691630184404
EC:1.1.1.243,0.4780209345396984,0.6814383648637498,0.5987043361199116
EC:1.1.1.25,0.18216398487953198,0.2746005255842341,0.2745665094679071
EC:1.1.1.251,0.5055514156298367,0.6707637757576768,0.6773281928329571
EC:1.1.1.26,0.5767546203409514,0.7411553179762201,0.7454115151986451
EC:1.1.1.261,0.4805901043794714,0.6518485354268059,0.5848787040039657
EC:1.1.1.262,0.34486958916891,0.4887278014962504,0.48274657889647876
EC:1.1.1.264,0.5111629871435158,0.6128682376547759,0.6564693965490926
EC:1.1.1.267,0.28866140176921384,0.39640281587468124,0.36956596768159977
EC:1.1.1.27,0.25530856377127314,0.34949615669857087,0.376900525903151
EC:1.1.1.271,0.4462111927106806,0.5568752915251779,0.6596591454052617
EC:1.1.1.275,0.49393922831357046,0.7022391609342356,0.6549748287906902
EC:1.1.1.28,0.25695061550177717,0.3591488079813113,0.37275167802712894
EC:1.1.1.281,0.5119826731633168,0.7209005946559857,0.7279365472814785
EC:1.1.1.282,0.5153006861799246,0.6779429689807828,0.7099918008374843
EC:1.1.1.284,0.43385879698063806,0.5846316024673294,0.5877574634969239
EC:1.1.1.287,0.4188178262817934,0.6406522224139317,0.5851865112124099
EC:1.1.1.289,0.3962301671458408,0.597370228889253,0.5557232702930603
