	EG0024	EG0031	EG0039	EG0055	EG0057	EG0070	EG0088	EG0101	EG0118	EG0136	EG0141	EG0175	EG0194	EG0196	EG0236	EG0256	EG0280	EG0282	EG0294	EG0303	EG0313	EG0341	EG0364	EG0365	EG0381	EG0401	EG0415	EG0447	EG0497	EG0520	EG0546	EG0605	EG0647	EG0660	EG0732	EG0744	EG0767	EG0778	EG0800	EG0831	EG0850	EG0883	EG0892	EG0927	EG0946	EG0967	EG1035	EG1041	EG1051	EG1069	EG1080	EG1178	EG1359	EG1394	EG1416	EG1431	EG1490	EG1507	EG1524	EG1572	EG1599	EG1637	EG1673	EG1724	EG1823	EG1825	EG1830	EG1872	EG1878	EG1892	EG1904	EG1905	EG1915	EG1939	EG1940	EG1976	EG1990	EG2018	EG2149	EG2186	EG2214	EG2279	EG2335	EG2391	EG2392	EG2419	EG2435	EG2490	EG2559	EG2580	EG2591	EG2608	EG2638	EG2659
EG0850	0.995375	0.979525	0.995975	0.9791	0.86685	0.996675	0.569175	0.9842	0.20195	0.996125	0.96925	0.4647	0.994775	0.998275	0.999225	0.9906	0.99035	0.993975	0.9818	0.98885	0.977925	0.9987	0.9701	0.99935	0.994225	0.99785	0.943875	0.99795	0.9613	0.6627	0.99825	0.986225	0.9976	0.999475	0.97955	0.997	0.999475	0.9987	0.94625	0.94715	0.0	0.989075	0.985575	0.948025	0.95385	0.912125	0.982975	0.996625	0.987	0.9994	0.9993	0.97425	0.9307	0.99915	0.5015	0.9426	0.99785	0.96805	0.99915	0.968575	0.99865	0.970275	0.832625	0.981175	0.991725	0.979925	0.9976	0.9946	0.971025	0.997025	0.99195	0.986	0.97745	0.94695	0.98515	0.98045	0.99765	0.829575	0.996225	0.997575	0.998575	0.94445	0.9856	0.99615	0.712275	0.992925	0.970725	0.985425	0.999625	0.995325	0.97505	0.9974	0.996475	0.9993
EG0883	0.989125	0.996525	0.903275	0.979725	0.9962	0.839175	0.993	0.981625	0.99675	0.83855	0.968925	0.986775	0.95645	0.993675	0.97715	0.997975	0.9741	0.977325	0.98105	0.917325	0.983475	0.9032	0.989	0.997825	0.966675	0.898875	0.941225	0.9979	0.855975	0.99425	0.996725	0.847625	0.98415	0.992825	0.84365	0.681225	0.97265	0.981075	0.805325	0.934125	0.989075	0.0	0.98555	0.976425	0.937925	0.97915	0.994625	0.976375	0.980725	0.961925	0.9804	0.975175	0.95485	0.9833	0.8888	0.95025	0.981075	0.88255	0.9957	0.990375	0.896925	0.98995	0.995675	0.938525	0.9829	0.955575	0.980925	0.9214	0.993075	0.9772	0.85545	0.993425	0.9843	0.99805	0.9633	0.8063	0.996425	0.973	0.984125	0.878125	0.888	0.906975	0.9831	0.995325	0.98225	0.906025	0.883225	0.9469	0.986575	0.9777	0.89055	0.868675	0.975	0.988675
EG0892	0.98785	0.98505	0.95615	0.916475	0.983425	0.9877	0.995825	0.975825	0.9952	0.984175	0.937	0.990775	0.973025	0.957075	0.977	0.925775	0.978475	0.958775	0.973875	0.960175	0.986325	0.993875	0.9844	0.9854	0.9769	0.9648	0.942475	0.981575	0.935425	0.97775	0.99835	0.903525	0.973975	0.938875	0.986175	0.945425	0.94465	0.997625	0.995775	0.98525	0.985575	0.98555	0.0	0.993175	0.987825	0.964075	0.997075	0.975175	0.945275	0.993725	0.9651	0.9866	0.981525	0.948025	0.9974	0.983025	0.993675	0.920275	0.920975	0.973175	0.944375	0.98755	0.84455	0.85265	0.76505	0.94155	0.9972	0.9291	0.988725	0.977525	0.878275	0.995825	0.990425	0.850425	0.945775	0.918475	0.924	0.992575	0.970075	0.988825	0.919175	0.98875	0.9901	0.965775	0.9912	0.983475	0.9264	0.98135	0.993425	0.969075	0.9461	0.989675	0.997025	0.995325
EG0927	0.995525	0.99915	0.985475	0.99905	0.998975	0.977175	0.998675	0.998275	0.9999	0.919725	0.98405	0.9987	0.88365	0.998425	0.774075	0.999825	0.99705	0.994075	0.993925	0.9951	0.998	0.99895	0.99505	0.999775	0.9759	0.913325	0.776775	0.997425	0.85095	0.99765	0.998975	0.922175	0.99025	0.984325	0.99145	0.9559	0.882525	0.88975	0.93295	0.391225	0.948025	0.976425	0.993175	0.0	0.9983	0.99695	0.998725	0.9971	0.999025	0.964325	0.9956	0.889975	0.7096	0.99925	0.9998	0.541275	0.989525	0.897475	0.999	0.9981	0.9885	0.99925	0.997825	0.88665	0.999075	0.99835	0.994175	0.88085	0.99975	0.9962	0.9693	0.99775	0.887075	0.998825	0.981475	0.9498	0.9989	0.991675	0.9966	0.898575	0.9212	0.794325	0.994875	0.993675	0.994175	0.8888	0.976075	0.964275	0.999275	0.9957	0.9644	0.9941	0.978075	0.998925
EG0946	0.994425	0.9983	0.8531	0.988575	0.926675	0.967575	0.98185	0.717125	0.999675	0.933	0.775975	0.999075	0.992725	0.991075	0.99775	0.9904	0.961575	0.968225	0.93105	0.92965	0.9467	0.998	0.7801	0.999525	0.9865	0.96295	0.71535	0.997525	0.93055	0.989975	0.997425	0.936725	0.993525	0.9922	0.949075	0.95735	0.997075	0.99195	0.96845	0.99625	0.95385	0.937925	0.987825	0.9983	0.0	0.987975	0.9917	0.97925	0.9891	0.997025	0.9996	0.94225	0.953175	0.997925	0.9984	0.991475	0.97585	0.8423	0.997	0.899725	0.9958	0.957325	0.964975	0.96305	0.937475	0.952275	0.99945	0.972175	0.655375	0.9718	0.6254	0.965775	0.93425	0.751325	0.96705	0.788325	0.998475	0.6702	0.99555	0.967175	0.8937	0.96265	0.940975	0.99175	0.94755	0.95925	0.793375	0.965975	0.86625	0.9852	0.93755	0.9866	0.99415	0.998825
EG0967	0.98735	0.997075	0.949325	0.9756	0.94975	0.98665	0.9116	0.96655	0.917175	0.9716	0.9784	0.891075	0.96675	0.993825	0.92725	0.99615	0.97535	0.977625	0.97695	0.985125	0.97165	0.994675	0.995225	0.998675	0.986725	0.963125	0.97115	0.999075	0.9637	0.90655	0.9972	0.959525	0.98315	0.99585	0.953	0.958075	0.971725	0.997225	0.9963	0.96925	0.912125	0.97915	0.964075	0.99695	0.987975	0.0	0.9815	0.867275	0.953775	0.952	0.98375	0.9881	0.9641	0.9743	0.9181	0.981075	0.9935	0.984	0.996225	0.900975	0.96775	0.986625	0.9103	0.9325	0.979	0.985975	0.99685	0.98595	0.99935	0.98675	0.964325	0.9886	0.961675	0.9895	0.9918	0.965625	0.99655	0.905325	0.9872	0.97615	0.9527	0.97555	0.977325	0.992075	0.8739	0.95605	0.97695	0.9786	0.986375	0.970675	0.95995	0.9789	0.994175	0.964075
EG1035	0.997525	0.997125	0.99485	0.987975	0.9826	0.9974	0.97845	0.98875	0.98505	0.9905	0.9946	0.987025	0.99345	0.992375	0.99895	0.997925	0.99135	0.99435	0.990975	0.99815	0.9879	0.998525	0.998725	0.999175	0.9966	0.994825	0.9907	0.99895	0.990625	0.980075	0.9972	0.99055	0.990075	0.999	0.99075	0.9964	0.9966	0.999425	0.998875	0.9977	0.982975	0.994625	0.997075	0.998725	0.9917	0.9815	0.0	0.990425	0.990425	0.9991	0.998875	0.9912	0.994675	0.997925	0.986975	0.9945	0.9861	0.99325	0.996825	0.991875	0.99775	0.999125	0.9842	0.99045	0.9948	0.9912	0.999475	0.990125	0.998975	0.999075	0.99405	0.991725	0.99145	0.99065	0.990825	0.994075	0.99715	0.976	0.997025	0.998125	0.9977	0.994625	0.990975	0.992725	0.980925	0.9966	0.99775	0.991625	0.9995	0.997175	0.99085	0.99065	0.9972	0.998225
EG1041	0.986025	0.994	0.969525	0.989125	0.993625	0.97305	0.9072	0.958825	0.99485	0.969225	0.972325	0.962825	0.96555	0.98595	0.987475	0.9948	0.9802	0.9628	0.8997	0.9676	0.908425	0.987775	0.978425	0.998175	0.987625	0.98995	0.944625	0.998125	0.940975	0.983475	0.9952	0.9196	0.9721	0.9948	0.9346	0.95425	0.85315	0.99525	0.995075	0.986475	0.996625	0.976375	0.975175	0.9971	0.97925	0.867275	0.990425	0.0	0.97285	0.867825	0.9869	0.9586	0.981975	0.996975	0.996975	0.982175	0.984925	0.92785	0.97785	0.98085	0.9805	0.9985	0.994925	0.925875	0.981575	0.96915	0.995375	0.96335	0.998875	0.99585	0.9768	0.94385	0.96695	0.99635	0.905275	0.9573	0.9929	0.975775	0.95135	0.98545	0.9737	0.98565	0.97835	0.993225	0.98955	0.912125	0.9742	0.947925	0.996125	0.9864	0.916525	0.98455	0.9958	0.996975
EG1051	0.983525	0.992925	0.963525	0.97085	0.986725	0.9864	0.9915	0.582175	0.99425	0.9548	0.966675	0.92395	0.972	0.83255	0.968075	0.992075	0.5443	0.9612	0.477275	0.95875	0.932925	0.994825	0.9961	0.268875	0.624325	0.98675	0.95765	0.268475	0.9826	0.990825	0.99705	0.87695	0.9806	0.961275	0.968375	0.96055	0.960225	0.998575	0.995725	0.927525	0.987	0.980725	0.945275	0.999025	0.9891	0.953775	0.990425	0.97285	0.0	0.992425	0.59205	0.986425	0.9212	0.881825	0.995625	0.9831	0.99165	0.974725	0.99315	0.993275	0.985525	0.9241	0.991925	0.8646	0.956125	0.861925	0.996825	0.963175	0.9975	0.982525	0.971025	0.987775	0.986025	0.989175	0.961375	0.90525	0.995675	0.9848	0.25295	0.97765	0.9488	0.92125	0.9816	0.263625	0.983975	0.9487	0.877575	0.972275	0.93225	0.736075	0.9539	0.9885	0.9943	0.9228
EG1069	0.95965	0.998675	0.976075	0.994425	0.997925	0.97995	0.9987	0.993825	0.99935	0.936575	0.97075	0.9948	0.93515	0.997875	0.945875	0.9996	0.944475	0.979375	0.98175	0.987525	0.994175	0.998075	0.987025	0.998475	0.989875	0.942075	0.958275	0.9989	0.947125	0.9987	0.99935	0.93775	0.993025	0.96095	0.970525	0.958125	0.8763	0.941975	0.966625	0.946075	0.9994	0.961925	0.993725	0.964325	0.997025	0.952	0.9991	0.867825	0.992425	0.0	0.917175	0.94955	0.940125	0.803975	0.999575	0.937775	0.96815	0.889525	0.998975	0.999925	0.972325	0.995925	0.99865	0.961475	0.99395	0.956675	0.963625	0.917925	0.995225	0.95515	0.954025	0.961575	0.9593	0.9985	0.97405	0.9327	0.998875	0.97555	0.998125	0.946325	0.93895	0.953	0.94655	0.9985	0.9728	0.867925	0.9813	0.919975	0.983375	0.9843	0.954625	0.97535	0.991975	0.99435
