Group 1,Group 2,H,p-value,q-value
formed (n=30),liquid (n=31),0.0018730489073846002,0.9654793423101276,0.9654793423101276
formed (n=30),semi-formed (n=33),0.4734848484848442,0.49138832870479277,0.8657796397859335
liquid (n=31),semi-formed (n=33),0.3108053237085642,0.5771864265239557,0.8657796397859335
