id,(Intercept),Stool_Consistencyliquid,Stool_Consistencysemi-formed
1CMET2-PWY,14.177417271952521,0.19635030034664686,0.1941182216243812
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,-7.781143471461519,-0.320602964606322,0.020660393496841494
AEROBACTINSYN-PWY,-7.834410818845841,-0.9637356402825015,-0.4663998066941171
ALL-CHORISMATE-PWY,-4.155564747452983,-0.73788435906365335,-0.7183872337880779
ANAEROFRUCAT-PWY,14.37370003506545,-0.3977511479105007,-0.061695569432998566
ANAGLYCOLYSIS-PWY,16.810235625237244,0.0695556759226536,0.3250326778724885
ARG+POLYAMINE-SYN,1.9997842322948571,-1.0626775084418505,-1.3323519814157412
ARGDEG-PWY,-5.378545722425824,-0.8912931021010038,-0.7486294099530669
ARGORNPROST-PWY,6.738265654027093,-1.3396266066555533,-0.35826406950814327
ARGSYN-PWY,14.42681399192265,0.36362968854714545,-0.4818663069738337
ARGSYNBSUB-PWY,14.108160745756463,0.6888673655924062,-0.4929800630806541
ARO-PWY,17.90903016602109,0.0075964783188304935,-0.22703959312246344
ASPASN-PWY,10.432883622250154,0.483502379049312,0.6169058411578767
AST-PWY,-5.984037156976791,-1.1775377753875358,-0.7745177177292981
BIOTIN-BIOSYNTHESIS-PWY,-2.456126590692765,-0.6891792546086009,-0.0054780571776005494
BRANCHED-CHAIN-AA-SYN-PWY,15.73958510734692,0.5999567145374549,-0.09130807554833421
CALVIN-PWY,19.88265532252768,0.18335312971484413,0.1998117826455266
CATECHOL-ORTHO-CLEAVAGE-PWY,-10.099346299882997,2.0940371813208296,1.0462910955365075
CENTFERM-PWY,-4.110791371809654,0.8408292279706859,0.06677459803643511
COA-PWY,14.871222630428152,0.05792365760783065,0.4178469387959726
COBALSYN-PWY,5.049600903876083,1.251949418364583,1.3109536533763264
CODH-PWY,-14.888251438405158,1.8798809939823056,1.4268992098744218
COLANSYN-PWY,0.46214420620458996,-1.4327175411459452,-0.7717314986116527
COMPLETE-ARO-PWY,18.150648639469345,0.0342188119621567,-0.2136879162225532
DAPLYSINESYN-PWY,14.7322375666558,0.9673631253941376,-0.28969066842266145
DENOVOPURINE2-PWY,12.389730817446575,-0.7480854552768765,-0.23665492694487733
DTDPRHAMSYN-PWY,11.749447576802373,1.4082305669045798,1.1810721731650615
ECASYN-PWY,-5.230793418406398,-1.2027912663469364,-0.9721419893945812
ENTBACSYN-PWY,-3.533978353615024,-0.7595550680217632,-0.7903963240839174
FAO-PWY,-1.6944814859507626,0.2516345290915898,-0.9414074633040076
FASYN-ELONG-PWY,10.021123188512767,-2.3304947105069753,-0.46466708227498127
FASYN-INITIAL-PWY,-2.3661623115583317,-1.137918714380599,-0.29894293252514453
FERMENTATION-PWY,9.669637145884906,-0.8679714761041318,-0.19252829802481092
FOLSYN-PWY,14.961856711840118,-0.8359494943905628,-0.5307211396572407
FUC-RHAMCAT-PWY,1.6279010643271818,1.0832151716184006,0.4567697942467965
FUCCAT-PWY,1.2164855370864505,1.4790299159531561,0.9037030701343255
GALACT-GLUCUROCAT-PWY,6.524038168075719,0.8145437548568756,0.30621481507978776
GALACTARDEG-PWY,-4.205148524709599,-0.22482264533327834,-1.637428841813169
GALACTUROCAT-PWY,6.782667948495789,0.8096278401888649,0.7127133996493793
GALLATE-DEGRADATION-I-PWY,-11.164666344882596,1.887045462453892,0.28848872266221426
GALLATE-DEGRADATION-II-PWY,-11.21477048244166,1.9171862104383806,0.14811633835675173
GLCMANNANAUT-PWY,8.13729527612858,0.43065622552490856,0.2345916878260515
GLUCARDEG-PWY,-3.1928403525526785,-0.1065373837053262,-1.1421089488523315
GLUCARGALACTSUPER-PWY,-4.205148524709599,-0.22482264533327834,-1.637428841813169
GLUCONEO-PWY,13.481320363167786,-1.4049477860554844,-0.9332977869712603
GLUCOSE1PMETAB-PWY,-3.767044688209579,-1.7866305672601825,-1.2679294148386508
GLUCUROCAT-PWY,7.0819295982707136,0.7341146184240784,0.07986110637365398
GLUTORN-PWY,11.771126685948271,0.8017299668403837,0.025068659602531636
GLYCOCAT-PWY,14.998457310827074,0.6415055004408605,0.521960792725146
GLYCOGENSYNTH-PWY,12.127290582361443,0.8650304265104442,-0.2592645666571675
GLYCOL-GLYOXDEG-PWY,-6.309449471966416,0.3336091268994857,0.41837293524490793
GLYCOLYSIS,15.27756136799478,-0.3553304419066754,0.10380792566375703
GLYCOLYSIS-E-D,5.16703408271803,-0.3181447930368075,-0.9956890141119499
GLYCOLYSIS-TCA-GLYOX-BYPASS,-0.9299055099905745,-0.20839753130750976,-1.2879734179322992
GLYOXYLATE-BYPASS,-2.8154219050884066,0.07365340774103031,-0.8273049810709893
GOLPDLCAT-PWY,-4.002216232375861,1.1081210920534725,0.3286387431781202
HCAMHPDEG-PWY,-7.565260015137858,1.5441211478922579,0.4178570397253535
HEME-BIOSYNTHESIS-II,1.8396725014420101,-0.5662695507432091,-1.1213472260375907
HEMESYN2-PWY,7.162754807051126,-0.08308575994864749,-0.967016237829212
HEXITOLDEGSUPER-PWY,7.371553319334406,-0.8021183783031343,-0.8184286657917375
HISDEG-PWY,3.4990562105236758,-1.095044644397832,-1.006026571330832
HISTSYN-PWY,12.135625235362044,0.4422796845427211,-0.01818411428411071
HOMOSER-METSYN-PWY,12.2525777346492,0.1182012430756328,-1.1479513818754106
HSERMETANA-PWY,7.533181572388393,-0.053740427357697865,0.1676285065358892
ILEUSYN-PWY,16.795549294936116,0.5778359282640482,-0.07608071008899878
