	formed	liquid	semi-formed	Overall Accuracy
formed	0.06451612903225806	0.4838709677419355	0.45161290322580644	
liquid	0.1388888888888889	0.4444444444444444	0.4166666666666667	
semi-formed	0.22857142857142856	0.5142857142857142	0.2571428571428571	
Overall Accuracy				0.2647058823529412
Baseline Accuracy				0.35294117647058826
Accuracy Ratio				0.75
