sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-3334_iter-1,depth-3334_iter-2,depth-3334_iter-3,depth-3334_iter-4,depth-3334_iter-5,depth-3334_iter-6,depth-3334_iter-7,depth-3334_iter-8,depth-3334_iter-9,depth-3334_iter-10,depth-6667_iter-1,depth-6667_iter-2,depth-6667_iter-3,depth-6667_iter-4,depth-6667_iter-5,depth-6667_iter-6,depth-6667_iter-7,depth-6667_iter-8,depth-6667_iter-9,depth-6667_iter-10,depth-10000_iter-1,depth-10000_iter-2,depth-10000_iter-3,depth-10000_iter-4,depth-10000_iter-5,depth-10000_iter-6,depth-10000_iter-7,depth-10000_iter-8,depth-10000_iter-9,depth-10000_iter-10,depth-13333_iter-1,depth-13333_iter-2,depth-13333_iter-3,depth-13333_iter-4,depth-13333_iter-5,depth-13333_iter-6,depth-13333_iter-7,depth-13333_iter-8,depth-13333_iter-9,depth-13333_iter-10,depth-16667_iter-1,depth-16667_iter-2,depth-16667_iter-3,depth-16667_iter-4,depth-16667_iter-5,depth-16667_iter-6,depth-16667_iter-7,depth-16667_iter-8,depth-16667_iter-9,depth-16667_iter-10,depth-20000_iter-1,depth-20000_iter-2,depth-20000_iter-3,depth-20000_iter-4,depth-20000_iter-5,depth-20000_iter-6,depth-20000_iter-7,depth-20000_iter-8,depth-20000_iter-9,depth-20000_iter-10,depth-23333_iter-1,depth-23333_iter-2,depth-23333_iter-3,depth-23333_iter-4,depth-23333_iter-5,depth-23333_iter-6,depth-23333_iter-7,depth-23333_iter-8,depth-23333_iter-9,depth-23333_iter-10,depth-26666_iter-1,depth-26666_iter-2,depth-26666_iter-3,depth-26666_iter-4,depth-26666_iter-5,depth-26666_iter-6,depth-26666_iter-7,depth-26666_iter-8,depth-26666_iter-9,depth-26666_iter-10,depth-30000_iter-1,depth-30000_iter-2,depth-30000_iter-3,depth-30000_iter-4,depth-30000_iter-5,depth-30000_iter-6,depth-30000_iter-7,depth-30000_iter-8,depth-30000_iter-9,depth-30000_iter-10,Patient_ID,Stool_Consistency,Patient_Sex
EG0024,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.258458037951808,7.2374458573290035,7.260650301397931,7.269604934542147,7.254745843347518,7.277572974654927,7.28101038095168,7.25665159437433,7.271486177680787,7.273137834856802,7.2770808256118595,7.274272798327822,7.306344148125213,7.269084503233682,7.280717498343777,7.274494454936777,7.289098118322918,7.2949441314485455,7.305930176096711,7.269491598853201,7.291631800071239,7.294620938062342,7.311683051151021,7.295797985336248,7.30017149987815,7.292324153858549,7.29586562430159,7.297842647094466,7.291159012317304,7.276320113946034,7.294275231627654,7.302492636297991,7.290997780591016,7.305777885557471,7.30264311844355,7.289293163873539,7.300696646350537,7.309250842865598,7.296913117694531,7.294969085423148,7.296949424853424,7.290966375769711,7.302092847141473,7.301545111056406,7.296152754513625,7.303933606028612,7.309327995979512,7.311919352972983,7.308592624771765,7.308210867447678,7.308638274795557,7.309599432801662,7.312388291035544,7.311312568764993,7.30362923686264,7.3035670734632925,7.316151330635024,7.307488046833861,7.306886619971365,7.315579656488776,7.31523867460126,7.312074276039468,7.31040461970528,7.305159822401521,7.314500996953517,7.312807023046749,7.301271245664333,7.302332229876148,7.317278237079284,7.313123810854777,7.307730464856742,7.302697665101736,7.308322788420191,7.307047851850071,7.303737056352617,7.305710424802611,7.30484112369002,7.3091161721439635,7.314191850136195,7.306157687025205,7.306563949003541,7.3103563096556865,7.308836096050991,7.303810207312618,7.319834374159475,7.308180859280201,7.309893716948375,7.311547200755515,7.311248753115691,7.303765213790169,P004,formed,F
EG0031,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.741214629710572,7.73534281840185,7.747249353765392,7.750297673068574,7.746325879532169,7.73974209380885,7.733596806258245,7.720232298624064,7.757540181577188,7.737261726140544,7.768879141441457,7.759025708098618,7.75599361000594,7.772233704332184,7.773324648758779,7.765661013960675,7.768916852564039,7.765935104920094,7.761759481602732,7.767440208436999,7.779116639558787,7.767885074925092,7.7722677674517024,7.780485180899221,7.7801658884629745,7.773702431757345,7.778725070786429,7.783944505041512,7.775299902110988,7.786039095958213,7.781893966435242,7.793207422261506,7.780797237092299,7.781544323196636,7.785549283331276,7.776346215611738,7.776310576499619,7.785074723094788,7.780525106764176,7.779571687643493,7.778307449314412,7.783897760440477,7.783773853190298,7.773435738232511,7.787526147961089,7.77782538526044,7.780933497184672,7.776791108126564,7.780863087329159,7.781159708860674,7.787894795618118,7.7805896028098065,7.78339427836658,7.779397895200936,7.785472897197691,7.782847463938511,7.785632000851855,7.788911338768985,7.785564181284166,7.783966847209784,7.787702410833202,7.786941991067354,7.783216777521731,7.781765158620123,7.789557855361011,7.789031301094531,7.79447007577042,7.782889988082998,7.790066613747616,7.78005172659554,7.78807296205464,7.787403156413956,7.790642328050293,7.779208139677226,7.79357910194781,7.788861272553389,7.788377336681542,7.786004696338258,7.783279205901774,7.785014330468678,7.786639460772309,7.782765916425318,7.78656061315065,7.789901665298833,7.790309276953778,7.78564658229534,7.792989205430344,7.781317480500598,7.790468455477894,7.782430309701802,P021,formed,M
EG0039,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.435638573806289,7.406769354482102,7.415042370320101,7.381974075346864,7.431241564501259,7.447030790974397,7.405553862273941,7.418118753357254,7.384121584088685,7.405007903539784,7.44243482418691,7.43895202986424,7.408556933310721,7.445925186793403,7.468246231782516,7.423503118643683,7.429637855992225,7.435034229842219,7.438317952318,7.404964150647273,7.436887919995994,7.436130566304532,7.450837609418979,7.441402589282346,7.450091277019779,7.442533595977447,7.453661224876612,7.434940274090544,7.4388373936112115,7.431277447794857,7.459344476257883,7.444045029580202,7.449421377487611,7.46588087577744,7.419769823205075,7.423261107598688,7.44700622128313,7.446265877164463,7.43689003500387,7.464979941528819,7.455526056790175,7.449852457880981,7.441865488368418,7.460573729713072,7.4475398201440255,7.4586930142776975,7.441993452433525,7.458927262723455,7.44233542112153,7.468698194589616,7.461900264015498,7.455781809504835,7.449877440083494,7.449890094235076,7.455521926260693,7.45818787374249,7.465723101562595,7.449817200578322,7.458284530386432,7.446770467810048,7.4581522548187165,7.462366405604542,7.452997066113574,7.449618157372828,7.453007838239117,7.460357926898406,7.45692215478843,7.458245831927256,7.458592132171881,7.460033471713661,7.445874380648676,7.454377883011934,7.453140674032237,7.461716135285203,7.452832268831907,7.453020907237916,7.4435333108148285,7.455417145460546,7.4656449124995135,7.45201155324537,7.463722896063604,7.453553523458763,7.454904154014254,7.457136928992889,7.451580153720583,7.451002087975361,7.464768613005362,7.446196156185076,7.443282805917817,7.46091996596613,P073,formed,M
EG0055,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.458212320283334,6.473252140569782,6.432134323357857,6.475172176649648,6.469523579164503,6.457209839556159,6.453840692324628,6.475475999284281,6.4570635059797725,6.47819717800374,6.464418763502334,6.483681237538305,6.466888451355016,6.4899482285851,6.495942215708519,6.449565917433889,6.477537421313079,6.460607304590493,6.469368698456494,6.493551029642035,6.484881643991415,6.49446990239498,6.483375138559452,6.474143807164087,6.497415079516544,6.481878464870145,6.46570642433805,6.457399223844992,6.48940027477588,6.482441673743633,6.489163555420779,6.486076886185907,6.487055884457164,6.489632519586429,6.482428109950507,6.476615325918769,6.467407767030669,6.482669239342757,6.48416002516101,6.492061637652338,6.467627977843735,6.480308519906192,6.483358128705072,6.489375887064036,6.487342091276045,6.4778226956976726,6.478269215321804,6.497894263722345,6.484454000140881,6.478399714257088,6.4895162189952496,6.488125478114783,6.490739931495818,6.478659375477137,6.49769229804175,6.487373198989526,6.476892223211133,6.479609264124667,6.491520116824317,6.486069917634997,6.495895138694076,6.48146585798674,6.479903131976143,6.49004968683435,6.489946896615238,6.500108218138182,6.48987053279404,6.489204473216925,6.483474535087265,6.495666641254467,6.493112552521168,6.495296910399632,6.477100895081712,6.482239558075454,6.486664170391771,6.48881202415883,6.478221424681333,6.494855129075242,6.483783100590753,6.482092088509366,6.508165505876447,6.481569864352987,6.490522815863264,6.486452621992848,6.498147463856791,6.48865664041924,6.491499700667281,6.492345481758748,6.498114827407631,6.489556397586036,P020,liquid,F
EG0057,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.910773040443295,6.924050773561218,6.895881564082564,6.905859588255328,6.929446218769361,6.897159784046329,6.910796756581045,6.932488317843501,6.9027447126108665,6.896080112362588,6.929648232081471,6.926999951748053,6.937352366489395,6.941529712104014,6.917304339294812,6.912663164322943,6.95410637770833,6.925699148260266,6.94089283467225,6.935246510620307,6.938664824782156,6.92671746237342,6.940848894353389,6.944889105807637,6.933491206394121,6.940595639753712,6.93722454396229,6.940824376356599,6.927268481486998,6.932980936965193,6.947233393502173,6.947703106125058,6.948113800252917,6.950589729931636,6.94072339411266,6.94169431283295,6.962830913611357,6.926684512433189,6.929806383386312,6.937504225577833,6.945409723838707,6.946769940782781,6.9349221854308825,6.948905249552311,6.941590004430183,6.93901441134311,6.94532111397794,6.93745865085162,6.941056732351317,6.940920594185956,6.950155321080911,6.951348868946474,6.955223101708044,6.94764638686758,6.945603282832217,6.948734701925211,6.950531209970623,6.949610173385389,6.952047867243571,6.934267439645695,6.951466787227284,6.950609278501356,6.94754944632165,6.951792748340291,6.943229757779991,6.939792105400645,6.958545333391031,6.951152565832526,6.94280140013553,6.9553677085389936,6.951237298907386,6.959543259957429,6.953316148305969,6.948914652662145,6.948596968251942,6.956543810129508,6.9537121362361445,6.945799049820645,6.958622022717658,6.954648079506537,6.956037194734646,6.952875704941599,6.952631935429008,6.952772349667902,6.950860254748108,6.951019730252417,6.952830586816749,6.949628408792831,6.957568079717235,6.943113143431944,P004,formed,F
EG0070,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.978109478039786,6.992087572320156,6.987641302451452,6.954926254672579,6.967428719718105,6.949681075574204,6.960493967165344,6.96825536938157,6.972777020210295,6.967597845263594,6.978395925744465,6.976259184359988,6.9895704320829,6.984645053490429,6.997094745930646,7.002881538603849,6.988128069795425,6.993181299785032,6.961353860259727,6.98524386821387,6.99533576261955,6.993496935995922,6.984842813382541,6.997957970530501,6.971663205786569,7.015517930788848,6.991703398739462,7.001028356823795,7.001857137587303,7.015694896346765,7.0067668107385135,7.003411048627615,6.997246419151777,7.006994896326132,7.009655991584428,6.988912603545697,7.000888828929801,7.003954144233679,7.004887141547734,7.004099953036539,6.999030434656435,7.000148144426187,7.00016112649014,6.999417826416573,7.005684812661253,7.00387205920044,6.999322696561935,7.008594038929512,7.0084800242880565,7.003213938592052,7.0052640814960325,7.010288618686928,7.003133366714876,7.013420514757729,7.005400342359644,7.004046422188778,7.005836766852295,7.007618686281325,7.010125912062646,7.0145369066487335,7.008650152060251,7.001063270655089,7.013272968612829,7.011438361440106,6.995679089464497,7.007829422957111,7.012180271333205,7.008967486195953,6.998985105369988,7.012866133386236,7.0198648520821125,7.012386872041418,7.004504225501267,7.0047276511393415,7.0131100835488,7.01485349985965,7.000204222567247,7.0133748449908175,7.010512499311469,7.004297871159621,7.010670544084842,7.010527964512317,7.0064284746108445,7.01071921994043,7.006388242185152,7.005958381789765,7.02760956318406,7.009009696189539,7.014547486473231,7.007979181591288,P062,semi-formed,F
EG0088,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.034314916992169,7.026663424338731,7.018000404123992,7.046574739927819,7.025109070770201,7.01523800204732,7.0384906353488,7.030799640505663,7.042615944924441,7.028444154537429,7.0361219478452135,7.051212335810362,7.051609017661096,7.044448780001611,7.042886865835689,7.049032673970813,7.046955130542191,7.029358387602957,7.041634084960184,7.030365976666046,7.057690230822962,7.050451040474944,7.059016313997899,7.0475502945417405,7.056482755037512,7.03802853046188,7.059259234235479,7.054770605879925,7.056685160378398,7.049820501159287,7.056899185510204,7.050190300314613,7.058041986314868,7.068281765266003,7.060037790832458,7.059865930804349,7.055092464386207,7.061481513414022,7.051858441874638,7.055002045890555,7.04357870504867,7.058726217142916,7.067148661259261,7.059871008400122,7.058223107104165,7.062994590437381,7.05765724855834,7.053499424586524,7.057623486680408,7.057437278687131,7.058321987196146,7.065319761948803,7.058089982908903,7.059569764392943,7.06019914193456,7.064198681351821,7.0636960323177,7.058763079412351,7.052517567662096,7.068800285003491,7.058989437730348,7.057747396713144,7.055409866627612,7.063414148898034,7.062015109196792,7.054732833638654,7.062889248697575,7.062334302597848,7.061055666626599,7.060857034263118,7.060281646703252,7.068491824389711,7.059228773776504,7.060653261178307,7.058976958747108,7.064210725965624,7.05738975540749,7.056343604001065,7.065373252747073,7.057619191633797,7.066524247379217,7.055324297187443,7.064244903699519,7.057603705400739,7.066500389726297,7.06711593549658,7.063648280215568,7.0702431323598,7.066567266764413,7.068074109914222,P020,semi-formed,F
EG0101,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.733583406637798,7.752687049972814,7.753859231861497,7.762792521593769,7.772074843442551,7.767370734064707,7.783909789104214,7.763251243039361,7.769485523203626,7.756990253261285,7.777682289904753,7.7921139163113935,7.802614789425919,7.783733253882982,7.798228778768687,7.7968546244369,7.799725229297959,7.788256455716329,7.791523577270152,7.800040502806009,7.795403055226322,7.807168461443124,7.816832567418932,7.818868665135138,7.804484116831114,7.818537613086965,7.810358515719568,7.796400257168424,7.798602629751459,7.806276996355496,7.818155318408245,7.8157704133424435,7.799024293626882,7.805986280548304,7.801658675818601,7.806519508078948,7.79190913547653,7.807544569786945,7.819244813649775,7.806527056473291,7.8133914148606385,7.809669541332534,7.813128009681201,7.825108177345007,7.805265429335652,7.81299668302217,7.813831700434733,7.816635651166068,7.799162267894894,7.8135898826024786,7.813183455249999,7.814817203337282,7.816359774419028,7.818360318908729,7.813327735740335,7.8218302656022045,7.81546288002577,7.810804372974588,7.814030375034799,7.823127959742985,7.816531201144125,7.8157839933650815,7.821278264200163,7.814437181719442,7.822547533114512,7.814727888081531,7.807881964931924,7.8260163957346895,7.808638654351721,7.813627187191569,7.809272637345454,7.824589797427701,7.823521066322513,7.8085712316676545,7.814091952419626,7.814597415769239,7.818701645340853,7.819405710142153,7.821279770159458,7.808975497898047,7.811748638239893,7.817267248266915,7.811557797903921,7.816007664688632,7.81482847884892,7.817041619147838,7.82456633468473,7.812232617288237,7.812318966244025,7.816078671669273,P054,semi-formed,F
EG0118,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.797947971037121,6.793826500274557,6.803635299274424,6.799890599515001,6.804878583517561,6.804664163026449,6.801628810972983,6.802114533168145,6.81097193208994,6.804768051866589,6.818740533686648,6.814770458621889,6.817807871051906,6.814846367395739,6.811217392414838,6.813725965589297,6.807675232904783,6.813698076304613,6.81274312197436,6.812382913360743,6.819045278086759,6.817440028967497,6.820142501859458,6.825773870346051,6.823021285711109,6.823638291771999,6.8223644120780005,6.8273094021086775,6.819022810756693,6.821693687036624,6.820696395199046,6.831043741200794,6.817871503917771,6.823070941654249,6.824305576398351,6.829678441086145,6.82027806325045,6.826319326461534,6.824441357695685,6.826579830561267,6.8286735744796125,6.823899201494858,6.829484877021864,6.827817756535513,6.823765587031656,6.8232495223880205,6.82072435284432,6.825429983754075,6.820200842665806,6.820228934203703,6.82650529442997,6.821452766819601,6.820073469288651,6.823884513765457,6.830395700353578,6.825901633668643,6.824347787034289,6.825186800344499,6.828215387238704,6.828763626602559,6.8287782395520775,6.829462380250065,6.828455448551357,6.827344223133909,6.824036583171445,6.827101400689342,6.829896976014989,6.826393209474176,6.824659050994641,6.829286324391392,6.828286140974055,6.830159989958005,6.82550815213674,6.832679960103828,6.825484415794266,6.831334105114079,6.827118323560805,6.823952836990967,6.828716585510548,6.829506965886192,6.829400615980923,6.830964707785563,6.832781617056195,6.828451508058724,6.82947105119792,6.834086290570091,6.829520993740148,6.829721895118287,6.82645260847281,6.82718340311465,P062,formed,F
EG0136,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.125481021222208,7.121725746956953,7.1547668585535575,7.137564664478348,7.131403884469707,7.09775600005534,7.127746224084106,7.111170315106437,7.1331413816101525,7.138264848523535,7.143446955186611,7.126624118500017,7.15999829108902,7.135666968061103,7.154003370977917,7.148874660705153,7.151790650965549,7.143601234048502,7.174357760890403,7.162931088334333,7.152214541153016,7.172508237364046,7.147547354670829,7.150744376937544,7.1539344175030015,7.128284297596184,7.151435863950686,7.15883697409638,7.162331307892623,7.155864727254545,7.167822352671199,7.153383826032138,7.160168626963251,7.157220241095758,7.167943696861656,7.153517779535088,7.180455757752069,7.154639179645487,7.1640741743900005,7.1547868238052805,7.15828075359866,7.153200660037917,7.185427291419345,7.162770769232874,7.170696044111216,7.175843311887516,7.165663785211422,7.1798046208018365,7.163194059641639,7.155318552325802,7.1746121250417145,7.169376010606895,7.165372140822279,7.172676693208384,7.164972113059853,7.161826340297395,7.171108051192424,7.189105536865549,7.158707785290418,7.16765688987039,7.171529215006147,7.172300141344479,7.172660666482657,7.165745480119233,7.164248282373815,7.165244198247001,7.16479889375812,7.1642988112972,7.177022726892268,7.178092983019508,7.1813020616703405,7.181779892054357,7.174953118831886,7.1757330086525455,7.169188276934627,7.166856562981839,7.174234616479743,7.175783364409618,7.1662209824441,7.172755922840737,7.165802811763988,7.160123873691238,7.167686936915538,7.173325077562272,7.17554371719161,7.162059999629734,7.177304964673889,7.17750199660517,7.16324268529894,7.182608991264396,P027,formed,M
