id,(Intercept),cohortAfter abduction
EC:1.1.1.1,38.32747298094034,1.7013421561713427
EC:1.1.1.100,38.23327296996981,0.4687015695052102
EC:1.1.1.103,4.347947980308013,-4.21380509965297
EC:1.1.1.108,-9.726559067915849,3.204696618679918
EC:1.1.1.11,-23.129982872784627,1.3467535602832093
EC:1.1.1.122,-7.5348907961920135,-0.6931210812754202
EC:1.1.1.125,9.084140914894661,-2.206866419402926
EC:1.1.1.130,2.630089099927496,-3.0770785966475036
EC:1.1.1.132,-7.515541294258906,-0.5861294515357477
EC:1.1.1.133,30.07097955774956,-1.2186121362030136
EC:1.1.1.136,-6.595184375352208,-3.255290885670754
EC:1.1.1.137,-4.17714154497599,3.583821996567944
EC:1.1.1.14,19.47894661569988,-5.004742729525658
EC:1.1.1.140,3.28647763564423,0.6066933350455389
EC:1.1.1.157,18.421985648720355,-2.42491686501774
EC:1.1.1.159,5.815708845799481,-5.993641878937071
EC:1.1.1.169,25.751305302134373,0.9883865946523543
EC:1.1.1.17,6.672960443944239,0.4832043623812094
EC:1.1.1.179,-3.610383559600481,-3.7828264056805163
EC:1.1.1.18,7.97564000941853,-1.9297954139800253
EC:1.1.1.193,20.751943062083548,-0.3418526074001246
EC:1.1.1.202,-6.791933440828957,-0.6813688174890178
EC:1.1.1.203,-14.093778033747668,0.6388001321425831
EC:1.1.1.205,31.93218679977224,0.6213875833183542
EC:1.1.1.206,-10.88727188251373,-1.2900753710372415
EC:1.1.1.215,-8.415500339825838,-1.0925565627623728
EC:1.1.1.219,-0.81821478791352,-3.8330215356705133
EC:1.1.1.22,22.271655338889346,-3.7972849244404716
EC:1.1.1.23,26.290125761241203,-1.224613312231997
EC:1.1.1.243,-9.64007964824143,-1.1900697639341589
EC:1.1.1.25,31.87533926669148,-1.234745529837122
EC:1.1.1.251,-10.81575272611476,-0.7491032002845429
EC:1.1.1.26,-6.730758875062991,-2.8892423474701325
EC:1.1.1.261,6.220568123763735,-5.245266515281825
EC:1.1.1.262,10.537777639403785,-3.8749626615160384
EC:1.1.1.264,-9.668834280300082,0.5138121815098512
EC:1.1.1.267,23.709257091730215,-5.403668020729607
EC:1.1.1.27,29.123906931281386,0.088295754019656
EC:1.1.1.271,1.7892724464237455,-3.0445367108489543
EC:1.1.1.275,-11.578996158521928,-1.0143921866856727
EC:1.1.1.28,20.869771480784866,0.8541284252995544
EC:1.1.1.281,-6.920206860099914,-1.5937267595538487
EC:1.1.1.282,-10.328334910820208,-0.9371180030942362
EC:1.1.1.284,2.81242762446831,-0.4668408009434207
EC:1.1.1.287,-12.81901916755175,-1.9836954106983835
EC:1.1.1.289,-15.33057798498987,-1.4185402080332
EC:1.1.1.29,18.740367604965396,-3.211049323113265
EC:1.1.1.290,-3.8233261491125816,-1.3255175061377709
EC:1.1.1.291,-24.812869213393164,0.4979116684287462
EC:1.1.1.3,31.037518740955168,-0.9233696326023121
EC:1.1.1.30,-6.121340004076965,0.06909628466487283
EC:1.1.1.300,-15.204600594831007,-0.15218195449019892
EC:1.1.1.301,-16.451554929881517,1.7114555194352534
EC:1.1.1.302,-6.49980598949105,-1.7756823678598483
EC:1.1.1.303,2.925197110196453,0.38375560841934286
EC:1.1.1.304,2.3164622146306493,2.3039746165302692
EC:1.1.1.305,-7.290483035668902,-1.5308899293131928
EC:1.1.1.306,-7.707189548582375,-0.6635749570932729
EC:1.1.1.308,-9.151401875240174,-2.3589037334754543
EC:1.1.1.31,23.37228958097813,-1.5386211130663596
