id,(Intercept),cohortAfter abduction
1CMET2-PWY,2.9453661717592734,-0.425240630020434
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,-4.780435856810928,0.02044969230109972
AEROBACTINSYN-PWY,-4.8273682113169745,-0.44710932336079423
ALL-CHORISMATE-PWY,-2.5104065839320375,-1.0309121466642241
ANAEROFRUCAT-PWY,2.7694386895215466,0.3897931718869018
ANAGLYCOLYSIS-PWY,3.2777113146939865,0.11309226070065459
ARG+POLYAMINE-SYN,0.42230641380063894,-1.1275264779794893
ARGDEG-PWY,-3.4197627633404046,-0.735065872778888
ARGORNPROST-PWY,1.1151083213142368,0.5333407145345389
ARGSYN-PWY,2.6960581185021546,-0.4227907765128017
ARGSYNBSUB-PWY,2.7555131473325645,-0.5163279733819138
ARO-PWY,3.0156304191472074,-0.22224413952742728
ASPASN-PWY,2.590729509345545,-1.2306046518474645
AST-PWY,-3.844930456043093,-0.6294614313029671
BIOTIN-BIOSYNTHESIS-PWY,-1.5299617966782577,-0.8080798216782813
BRANCHED-CHAIN-AA-SYN-PWY,3.0424719113213143,-0.47345936280376233
CALVIN-PWY,3.2563519570875616,-0.03952752911061819
CATECHOL-ORTHO-CLEAVAGE-PWY,-4.608666919476474,-1.2018324663212185
CENTFERM-PWY,-0.9411253512864919,-1.6258968696425948
COA-PWY,2.928245615031262,0.2041242922386436
COBALSYN-PWY,2.5185444700262707,-1.6376300121769085
CODH-PWY,-5.98505780631385,-0.6051482815537407
COLANSYN-PWY,0.0665119860126957,-1.318446012354468
COMPLETE-ARO-PWY,3.053664721611325,-0.2134424437184912
DAPLYSINESYN-PWY,2.9494817224452934,-1.0948842150710405
DENOVOPURINE2-PWY,2.4274606906116496,0.45481028167885024
DTDPRHAMSYN-PWY,2.972680224043751,-0.2869354359586874
ECASYN-PWY,-3.355708606991425,-0.8779512413924827
ENTBACSYN-PWY,-2.0470685729833633,-1.256021970686787
FAO-PWY,-0.9276214415299906,-0.519464230272367
FASYN-ELONG-PWY,1.5084506712508094,0.8874347665252568
FASYN-INITIAL-PWY,-1.77968059283082,-0.5818855656036793
FERMENTATION-PWY,1.9488583761369558,-0.15023633553868032
FOLSYN-PWY,2.567079659240747,-0.31566889226374484
FUC-RHAMCAT-PWY,1.2407113123484894,-1.826017345108499
FUCCAT-PWY,1.649798811156474,-2.422689013774258
GALACT-GLUCUROCAT-PWY,2.0408555698680324,-0.9824249816528196
GALACTARDEG-PWY,-1.8084863320582638,-0.9692805494228928
GALACTUROCAT-PWY,2.2085570276255453,-1.002516611325294
GALLATE-DEGRADATION-I-PWY,-5.564895993936639,-0.21902955733818807
GALLATE-DEGRADATION-II-PWY,-5.564902033266552,-0.3230365266545162
GLCMANNANAUT-PWY,2.4012061516868197,-1.1904276003252163
GLUCARDEG-PWY,-1.3801154116119845,-0.9166510283425059
GLUCARGALACTSUPER-PWY,-1.8084863320582638,-0.9692805494228928
GLUCONEO-PWY,2.2531028998166267,0.00878158516311034
GLUCOSE1PMETAB-PWY,-2.834398023171609,-0.6914977870778011
GLUCUROCAT-PWY,2.2660489486155537,-0.7020260761452349
GLUTORN-PWY,2.6025792115172983,-0.6044204360173785
GLYCOCAT-PWY,3.094828882003368,-1.1592858650521327
GLYCOGENSYNTH-PWY,3.0458970842456257,-0.8874606820280849
GLYCOL-GLYOXDEG-PWY,-2.2641886314903656,-0.6494483027719048
GLYCOLYSIS,2.8768477506961876,0.3554221369381334
GLYCOLYSIS-E-D,1.1810862635467227,-0.5970984453570448
GLYCOLYSIS-TCA-GLYOX-BYPASS,-0.6907489282853936,-0.5051667226207129
GLYOXYLATE-BYPASS,-1.3540541336955432,-0.45395065358755626
GOLPDLCAT-PWY,-1.1059016459259778,-1.7982634719158566
HCAMHPDEG-PWY,-3.697339790969414,-0.8142373870729377
HEME-BIOSYNTHESIS-II,-0.24648036386579264,0.6180936008663778
HEMESYN2-PWY,1.3607241776146992,-0.04738782294000499
HEXITOLDEGSUPER-PWY,1.4005404999140385,0.03843096230461529
HISDEG-PWY,0.7471181252646648,-0.9081046014202424
HISTSYN-PWY,2.788959631643678,-0.2944238160143874
HOMOSER-METSYN-PWY,1.8658860602864866,-0.034454996953577566
HSERMETANA-PWY,1.8273547155787,-0.7114205547509324
ILEUSYN-PWY,3.1566875911536982,-0.4789544946190888
KDO-NAGLIPASYN-PWY,-2.9074170201042797,-1.0465427286696598
KETOGLUCONMET-PWY,-4.204563994477763,-0.5467899589328938
LACTOSECAT-PWY,0.8184985706928298,0.8552110121515626
LEU-DEG2-PWY,-3.929057064950511,-0.5962265773433254
LPSSYN-PWY,-6.844841429801695,-0.04113794423210293
MET-SAM-PWY,2.1753510476543205,-0.05536745694457246
METH-ACETATE-PWY,1.8565581008661471,-3.0537286164602233
METHGLYUT-PWY,-5.176302094245039,-0.22562707542623617
METHYLGALLATE-DEGRADATION-PWY,-5.468233400089549,-0.23463371009728318
NAD-BIOSYNTHESIS-II,-0.4845972888382679,-2.5197550827220723
NAGLIPASYN-PWY,-0.6795975138115455,-0.6292510960710379
NONMEVIPP-PWY,2.714485238787054,-1.4097177054246646
NONOXIPENT-PWY,3.5539031961442085,-0.20722547012820125
OANTIGEN-PWY,2.6695678013604596,-0.042566855972412054
ORNARGDEG-PWY,-3.4197627633404046,-0.735065872778888
ORNDEG-PWY,-3.4997525179354065,-0.8756002279421468
P101-PWY,-3.0032234338309305,-0.45860973493326596
P105-PWY,-0.5652136452897336,-0.9242949548992047
P108-PWY,0.17642052083391846,-0.9969072562176512
