id,(Intercept),cohortAfter abduction
1CMET2-PWY,22.437216997583945,-1.785325034785919
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,-14.448311629921841,0.03894936044587436
AEROBACTINSYN-PWY,-14.08786649211004,-0.8398072512974276
ALL-CHORISMATE-PWY,-7.259590692673369,-1.8543393123041045
ANAEROFRUCAT-PWY,20.281400019085037,1.5538512385220529
ANAGLYCOLYSIS-PWY,24.37689040434271,0.4549170657874753
ARG+POLYAMINE-SYN,3.3569220358209995,-4.367534371609183
ARGDEG-PWY,-9.730280179258338,-1.3169607102099568
ARGORNPROST-PWY,7.021195978289622,1.7455057131425342
ARGSYN-PWY,21.28856820481298,-1.88234455930158
ARGSYNBSUB-PWY,21.67780783434546,-2.282414300416329
ARO-PWY,23.846171522063933,-0.9764935797539288
ASPASN-PWY,19.354403017742598,-5.074024835856216
AST-PWY,-11.515716715390655,-1.1605801995709626
BIOTIN-BIOSYNTHESIS-PWY,-4.864808271142952,-1.4803790060328097
BRANCHED-CHAIN-AA-SYN-PWY,23.796615037262395,-2.0866148257275308
CALVIN-PWY,25.44939095828165,-0.17832843666477624
CATECHOL-ORTHO-CLEAVAGE-PWY,-11.589313694205632,-2.1494335996825598
CENTFERM-PWY,-5.05307494846184,-4.848475242699478
COA-PWY,22.260984363984793,0.8115317227619827
COBALSYN-PWY,17.19596921254851,-5.1303312368572485
CODH-PWY,-18.12295318118023,-1.2173847884438744
COLANSYN-PWY,0.26116556935240764,-3.270316782265758
COMPLETE-ARO-PWY,24.155654328500532,-0.9421663861565504
DAPLYSINESYN-PWY,22.768238064832044,-5.064837475268187
DENOVOPURINE2-PWY,16.86456341794598,1.7214807676698756
DTDPRHAMSYN-PWY,22.001791767000842,-1.0224494462593134
ECASYN-PWY,-9.571850299211174,-1.5760293823835076
ENTBACSYN-PWY,-6.176039472242403,-2.363128501311815
FAO-PWY,-4.123343995343334,-1.2513943677105435
FASYN-ELONG-PWY,8.722498905710129,2.9546138897648797
FASYN-INITIAL-PWY,-5.503068523862841,-1.0418444821902584
FERMENTATION-PWY,15.56972617530457,-0.6083880014246967
FOLSYN-PWY,20.558099437053468,-1.4778598422699023
FUC-RHAMCAT-PWY,7.261192843812081,-6.2448091861634065
FUCCAT-PWY,7.97432415986479,-6.908975847518018
GALACT-GLUCUROCAT-PWY,13.176148385480237,-2.9253076378199996
GALACTARDEG-PWY,-7.3097254019774995,-2.2077604111405598
