id,(Intercept),Stool_Consistencyliquid,Stool_Consistencysemi-formed
K00001,0.34114846600931203,0.4649835240525243,0.46092684576170395
K00003,0.31191080374036717,0.4062251696245751,0.4166508394922821
K00004,0.42174271563465776,0.530861613594206,0.5650254615313819
K00005,0.2414175128025857,0.3501062977882208,0.3721469608913064
K00007,0.4687375870106764,0.5806997486570389,0.5599772798672467
K00008,0.4245181392015854,0.5366934908329687,0.5512575424156739
K00009,0.3515639682298208,0.5167774102523451,0.5214126241634575
K00010,0.4343235581940977,0.5668150565861308,0.5565981117391317
K00012,0.26907294429124917,0.3893902773669674,0.38029408611749205
K00013,0.26452061392664467,0.3777121991698229,0.36855805102648753
K00014,0.21837775930112077,0.33622730781680593,0.3320268452954758
K00015,0.6029908316273668,0.7688365207969695,0.7768324301642623
K00016,0.29845856424748646,0.4100666211784577,0.43110108405233716
K00018,0.42323194408022324,0.5519110042507399,0.5427851082359502
K00019,0.447272510395112,0.5519116982734282,0.5389421110005105
K00020,0.2853681346873388,0.39992496318304765,0.41223754570288695
K00023,0.26750375145264343,0.42848215074894186,0.471536269006145
K00024,0.38999066337588023,0.47869035462905063,0.5312095818954662
K00027,0.24661969838794237,0.3729833832308676,0.36203091653974867
K00028,0.4943555990064596,0.6667733296867189,0.7429492670767017
K00029,0.460027568966643,0.5617575279936622,0.6719980996848487
K00030,0.5195228705210194,0.6449295467609295,0.7247683499740212
K00031,0.25873233161088954,0.3596853927201105,0.3532067144579833
K00033,0.30879367357049836,0.43665259882277085,0.4567639307704223
K00034,0.503013104757702,0.644641362515397,0.6840684444671846
K00036,0.3248241117813717,0.45055232737077,0.47480190331857447
K00038,0.586865108524991,0.7399614475917962,0.6963317271574374
K00040,0.32377680586833474,0.4490353208311662,0.4800310577028353
K00041,0.31694638356057414,0.46732773763512137,0.4656267143126424
K00042,0.31024469582555153,0.46068632760989653,0.45273119414729895
K00045,0.5326838698518747,0.6480525867254837,0.6686165869421739
K00046,0.3645977296503678,0.4982711034987522,0.4877488933260526
K00048,0.40674534145942076,0.522940151311535,0.5115431337778936
K00050,0.527378795616923,0.6885398123520327,0.7438702059099485
K00052,0.25156190487806346,0.36379220937319845,0.35525720536134436
K00053,0.2526394140969341,0.3646146801653052,0.3560641090884844
K00054,0.37428443982667864,0.4895811744634563,0.5420147705406796
K00055,0.4320011447667439,0.5760123487662804,0.5996136374933341
K00057,0.24735536464790786,0.3598918147519212,0.36583344770918313
K00058,0.24676336678032262,0.36461369188211706,0.34788686754381265
K00059,0.2564209991546594,0.37042148448510215,0.3734780322879848
K00060,0.3239597742073559,0.46727378465636926,0.4950120949951219
K00064,0.5417515518641297,0.6812752103520798,0.6645269458957189
K00065,0.3752198449052746,0.5033465606412117,0.4826729849831185
K00066,0.5467562062232424,0.7072662224231082,0.6810173415441372
K00067,0.2575236097882455,0.3683489665561355,0.37362629975622347
K00068,0.4203461475807538,0.617009227109262,0.6119982390582889
K00073,0.394280456449912,0.5917568359369579,0.580333844139398
K00074,0.2552873320583068,0.36891421889079135,0.3771036268432687
K00075,0.24374164136737148,0.3587982389128339,0.3570251061462519
K00076,0.473923773146772,0.602005835335403,0.6249096988108432
K00077,0.265680495532361,0.3670926045275135,0.3870728790796121
K00078,0.582547848825569,0.7797809875594727,0.7741073918406157
K00082,0.5371854700498366,0.6707467901062336,0.6398386398423506
K00086,0.5816190587796854,0.745408718070117,0.8178725878784169
K00087,0.4431919657260068,0.5668284944221,0.5443657677368873
K00088,0.24127635068008144,0.35112633845297814,0.35143027322100784
K00090,0.5180454802644902,0.6356864293981953,0.6320941751552724
K00091,0.5667613148523548,0.7018681773803521,0.7710972147015337
K00094,0.44339409535596946,0.5960448295348759,0.5879594071808707
K00096,0.5460249101461719,0.7165863574190918,0.6528543698063628
K00097,0.33399022686006136,0.4850498148342966,0.49567452953372093
K00098,0.5097963743036907,0.6302671521686669,0.6412067527533619
K00099,0.29452300069876414,0.41880705499089077,0.39843509492193246
K00100,0.3335361660086355,0.43690132277318877,0.46775205610839576
K00101,0.4603251577555047,0.6015166146772717,0.5632548211785244
K00102,0.41044510790655775,0.5892053425955927,0.6226807869804413
K00103,0.4580521554498099,0.6167718845559811,0.5613888156666593
K00104,0.33992855939094624,0.4788567364568814,0.46498015753249605
K00105,0.39846609302132197,0.5801877542729105,0.6036048037656256
K00108,0.46244217006693644,0.553442273698695,0.5717275033706545
K00111,0.28671510184817145,0.3943751335025579,0.38061121711837653
K00112,0.4894216586377265,0.6115154792211972,0.6658742020965773
K00113,0.4810725611010224,0.6031347735464676,0.6597618525789037
K00114,0.502008960117472,0.7022118288186897,0.6521770248592011
K00116,0.5685780587396803,0.6985120359633348,0.7690508522953085
K00117,0.532145404174764,0.6500338637974123,0.6498589934697128
K00121,0.4338345413000835,0.5947346982820609,0.57994544104063
K00123,0.2619386097486314,0.37919469423218916,0.3953998026901951
